gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
66,486,[0.22090646 0.00978897],[1.13429637 0.01892789],[1.29840110e-01 1.65300408e-05],[0.16842029 0.00676141],100.0,100.0,41603964.64164364,36135064.03200925,0.00978896785574778,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.924870383975527,36135064.03200925,1.65300407968806e-05,30
67,487,[0.21995831 0.00980529],[1.13429637 0.01892789],[1.29587857e-01 1.65300408e-05],[0.16878976 0.00677606],100.0,100.0,41542226.1231557,36104126.60893403,0.009805285833927755,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.925498607973735,36104126.60893403,1.65300407968806e-05,31
68,490,[0.21927748 0.0097541 ],[1.13429637 0.01892821],[1.29587857e-01 1.65300408e-05],[0.1691027  0.00680867],100.0,100.0,41494905.78027922,36104126.60893403,0.009754098147543598,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.925529707614964,36104126.60893403,1.65300407968806e-05,27
69,489,[0.21619361 0.00974388],[1.13429637 0.01892821],[1.29587857e-01 1.65300408e-05],[0.16603266 0.00677772],100.0,100.0,41302543.68493933,36104126.60893403,0.009743881471501513,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.925626387742772,36104126.60893403,1.65300407968806e-05,27
70,485,[0.21621851 0.00963967],[1.13429637 0.01892821],[1.28488385e-01 1.65300408e-05],[0.16615515 0.00688864],100.0,100.0,41301653.816702634,36100142.51017819,0.009639668112742762,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.928356771612971,36100142.51017819,1.65300407968806e-05,28
71,488,[0.21536323 0.00967966],[1.13429637 0.01907253],[1.26766152e-01 1.65300408e-05],[0.16645855 0.00694503],100.0,100.0,41248606.332481,35940431.63762339,0.009679657127075428,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.932633118862534,35940431.63762339,1.65300407968806e-05,32
72,481,[0.21545115 0.00972547],[1.13429637 0.01907253],[1.26766152e-01 1.65300408e-05],[0.16669004 0.00709484],100.0,100.0,41253584.2134957,35940431.63762339,0.009725472325331695,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.932636996225167,35940431.63762339,1.65300407968806e-05,33
73,489,[0.21096362 0.01043769],[1.13429637 0.01907253],[1.26766152e-01 1.65300408e-05],[0.16784854 0.00700331],100.0,100.0,40977859.26394898,35940431.63762339,0.01043769447592675,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.932638049779957,35940431.63762339,1.65300407968806e-05,34
74,490,[0.20169837 0.01101223],[1.13429637 0.01907253],[1.26766152e-01 1.65300408e-05],[0.1616314  0.00687863],100.0,100.0,40418444.07563212,35940431.63762339,0.01101223034079326,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.932641985927889,35940431.63762339,1.65300407968806e-05,34
75,485,[0.1812117  0.01214785],[1.13429637 0.01907253],[1.26766152e-01 1.65300408e-05],[0.13138598 0.00650318],100.0,100.0,39175485.13560142,35924685.23756944,0.012147853707324142,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.932643009302272,35924685.23756944,1.65300407968806e-05,35
76,485,[0.18128529 0.01206982],[1.13429637 0.01907253],[1.25749171e-01 1.65300408e-05],[0.13137493 0.0064595 ],100.0,100.0,39177126.32158918,35823728.628968775,0.012069823410203868,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.935167506140877,35823728.628968775,1.65300407968806e-05,38
