name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
385,850,850,12882.48048,1180.032317,1180.032317,0,0,26,29,0.023769573,7,7,8,8,112.5,96.42857143,13,100,27,500,60,25,221663.1166,582.73916,18.13593025,147722391.8
386,850,850,14785.16222,917.2212854,917.2212854,0,0,16,29,0.014627429,4,4,6,6,225.0,135.0,13,150,40,400,60,25,160199.092,461.752075,17.71371435,147933159.3
387,950,850,13046.24016,1058.345487,887.2362081,0,0,28,25,0.017021013,6,6,10,10,161.0,78.33333333,10,100,27,500,50,25,191123.7171,539.7223079,19.88099205,150024073.8
388,850,800,14072.97225,1238.357682,1130.808857,0,0,22,29,0.02136976,6,6,7,7,135.0,104.1666667,13,100,35,500,60,25,196692.211,525.0435875,16.98695633,151927887.6
389,1050,800,13710.99273,883.5598802,532.1099567,0,0,20,29,0.015726663,7,7,5,5,145.8333333,156.25,13,400,30,400,60,25,178232.4707,520.701969,20.54037382,152232274.3
390,1100,750,13717.66115,896.3944654,427.8746888,0,0,14,32,0.01364784,5,5,4,4,232.0,192.6666667,10,450,30,500,60,25,157897.7357,477.6155928,20.05582867,152459548.3
391,1000,850,13878.62671,1166.074016,896.4034394,0,0,16,29,0.012433315,5,5,5,5,207.75,170.25,10,100,30,500,60,25,169968.3378,506.794874,20.71264058,153022362.6
392,1050,750,14443.86188,891.878334,467.1108798,0,0,14,29,0.011742575,4,4,5,5,293.6666667,145.25,10,400,35,500,60,25,139660.3428,434.1972288,19.06805401,153288599.1
393,900,750,13844.53594,745.7251464,535.3956817,0,0,36,25,0.026179939,10,10,10,10,83.88888889,67.22222222,10,200,35,400,50,25,200247.0285,530.4831578,16.89788254,154524102.6
394,950,900,13822.71212,917.0159214,836.3602231,0,0,26,25,0.014927158,6,6,9,9,159.8,93.625,13,200,30,400,50,25,184758.4854,536.7906318,20.92956413,155096045.0
395,950,900,13311.70166,941.9080695,861.0098302,0,0,24,29,0.018540908,10,10,4,4,86.77777778,243.6666667,10,100,27,400,60,25,211426.252,589.2390642,21.11287549,155528649.2
396,1150,850,13737.57278,1132.098431,663.8696261,0,0,16,29,0.010811578,6,6,4,4,195.0,225.0,13,250,27,400,60,25,174986.4629,542.382943,23.67920806,155772509.2
397,1000,900,13435.42284,784.546867,646.1322723,0,0,28,25,0.015271631,10,10,6,6,94.33333333,149.8,13,400,27,400,50,25,187651.0773,551.3857547,21.98476106,155874653.3
398,900,800,14992.3825,1009.483826,828.911592,0,0,18,29,0.016512996,5,5,6,6,181.25,125.0,13,150,40,400,60,25,170263.5706,481.0131225,17.72548308,156189813.3
399,950,750,14119.21127,742.7065884,472.5768426,0,0,20,32,0.022575375,6,6,6,6,155.6,115.6,10,300,35,400,60,25,187981.0611,513.9224528,17.67594521,156217637.7
400,900,650,14322.47507,720.5644652,387.5648898,0,0,26,32,0.035744343,9,9,6,6,90.25,94.4,13,450,40,400,60,25,215340.5798,541.7969373,14.93252346,156954562.8
401,900,600,13860.35545,1347.112481,735.4302576,0,0,28,32,0.041701734,10,10,6,6,80.22222222,84.4,13,100,35,500,60,25,244429.2353,590.324376,14.09655459,157704885.3
402,1050,850,13500.21569,885.9567558,602.9924979,0,0,22,29,0.016281722,5,5,8,8,220.25,97.28571429,10,200,27,400,60,25,194543.7876,563.4382247,21.85964093,159983045.0
403,800,800,14682.61737,547.7059851,547.7059851,0,0,22,32,0.027646015,6,6,7,7,125.6,104.6666667,10,350,40,400,60,25,193469.4827,509.9634259,16.04676439,160262235.6
404,950,650,14758.77211,1077.078814,569.0341158,0,0,24,29,0.025672027,9,9,5,5,96.875,118.75,13,200,40,500,60,25,186744.2419,492.431864,15.48247666,160443409.2
405,750,750,14622.24738,579.9305949,579.9305949,0,0,24,32,0.034314569,7,7,7,7,95.33333333,95.33333333,13,350,40,500,60,25,202478.1437,512.0056754,14.3265634,160872536.2
406,1000,750,12992.73425,893.8116401,542.879771,0,0,42,25,0.027488936,13,13,10,10,71.25,67.22222222,10,150,27,400,50,25,232933.5491,609.997929,18.84704289,161018908.0
407,950,950,13608.7764,623.603107,623.603107,0,0,18,32,0.016040398,5,5,6,6,194.5,155.6,10,450,27,400,60,25,189230.7631,554.8843457,22.05341661,161169016.0
408,850,750,14188.70429,592.7460633,466.0580378,0,0,22,32,0.027754431,7,7,6,6,113.0,115.6,10,400,35,500,60,25,192670.5605,507.8715707,15.98382527,161305513.3
409,1050,750,13833.56,1278.505953,746.9698474,0,0,28,25,0.017453293,11,11,5,5,90.5,151.25,10,100,30,500,50,25,189523.7171,532.5223079,19.41011205,161410738.4
410,950,800,15305.26223,777.1847523,558.0617705,0,0,20,25,0.012917733,5,5,7,7,201.25,109.1666667,10,350,40,400,50,25,142542.5579,434.2963407,18.45551846,161458934.4
411,900,850,15393.66223,750.7986936,674.6533476,0,0,20,25,0.012833303,8,8,4,4,107.0,233.0,13,400,40,400,50,25,145556.8973,441.2988762,18.59104411,162206710.2
412,1000,700,13647.68181,805.2365023,414.8225621,0,0,22,32,0.025276357,7,7,6,6,138.0,105.6,10,300,30,500,60,25,199479.0707,533.970506,17.46764261,163465096.3
413,850,750,13612.69214,744.6358845,601.7094823,0,0,26,32,0.032800691,9,9,6,6,84.75,115.6,10,150,30,500,60,25,224654.0053,570.8726541,16.20340979,164259954.9
414,1000,700,13655.40765,806.4233636,415.4928492,0,0,34,29,0.032082393,11,11,8,8,82.5,75.0,13,400,30,400,60,25,238102.3593,609.8741938,17.73329257,169941648.6
415,1150,800,14391.86881,1038.300927,525.6597353,0,0,14,32,0.012238552,3,3,6,6,489.0,125.6,10,250,30,400,60,25,169520.3007,519.8204972,22.31990541,169946252.0
416,1050,750,15682.94194,1017.977493,543.5601356,0,0,14,29,0.011742575,4,4,5,5,291.6666667,143.75,13,350,40,400,60,25,144139.5763,443.1109033,19.09856101,170054749.7
417,850,750,15168.70615,613.4031443,480.6209654,0,0,20,32,0.025231301,8,8,4,4,96.85714286,192.6666667,10,450,40,500,60,25,179706.7226,482.3965191,15.89465522,170837771.8
418,1050,800,15155.4009,1046.912063,644.6612407,0,0,18,25,0.010518725,5,5,6,6,226.25,131.0,10,200,35,500,50,25,146026.4867,457.490494,20.31864287,170963337.2
419,900,750,14523.38502,959.1450233,709.8293426,0,0,34,25,0.024725498,10,10,9,9,83.22222222,74.875,13,200,35,500,50,25,198787.3071,527.7754472,16.8874058,172142442.3
420,1000,800,15016.73443,868.009699,573.2390952,0,0,22,25,0.013499031,5,5,8,8,213.75,93.57142857,10,300,35,500,50,25,154486.3769,465.8994057,19.45736547,172894271.9
421,1000,750,14699.33627,891.2682916,524.7272806,0,0,20,32,0.021446606,4,4,8,8,276.0,82.57142857,10,200,35,400,60,25,194289.8127,534.0068685,18.58138033,173765263.3
422,1050,900,14226.97533,1135.500801,879.3795023,0,0,18,29,0.012581331,7,7,4,4,145.8333333,241.6666667,13,200,27,500,60,25,185797.6259,557.1058925,23.00608811,174189219.2
423,750,750,15012.01799,550.1548828,550.1548828,0,0,26,32,0.037174117,7,7,8,8,96.33333333,82.57142857,10,250,40,500,60,25,213688.8228,533.991941,14.4037931,175060968.0
424,900,750,15455.25777,740.3614727,525.2635787,0,0,22,29,0.021528055,8,8,5,5,104.4285714,145.25,10,300,40,500,60,25,172704.7171,476.3044746,16.70858747,176115584.0
425,1000,800,15022.2224,894.0386872,593.473484,0,0,28,25,0.017180585,8,8,8,8,121.2857143,92.71428571,13,350,35,400,50,25,180320.9013,516.7187045,19.63492307,176444640.2
426,900,700,14391.3544,668.9433935,413.6077301,0,0,30,32,0.03829751,10,10,7,7,80.22222222,87.0,13,500,35,400,60,25,243538.3431,606.3005144,16.16128584,176556489.9
427,1000,950,14259.75871,1060.646621,974.8831434,0,0,24,25,0.012401024,9,9,5,5,106.125,199.75,13,200,27,500,50,25,185772.2542,558.0811666,23.12085195,176999529.9
428,900,900,15283.97773,861.4220586,861.4220586,0,0,14,32,0.013900578,5,5,4,4,182.0,242.6666667,10,150,35,500,60,25,165110.0481,488.9560946,19.75996294,177641421.7
429,1000,750,15820.91474,1326.985663,832.4898874,0,0,16,29,0.01409109,5,5,5,5,206.25,143.75,13,150,40,500,60,25,163093.7244,473.0343933,18.36590533,178042992.1
430,1050,700,15611.66814,1003.35236,470.4669524,0,0,22,25,0.014692823,6,6,7,7,181.0,92.5,10,300,40,500,50,25,149080.8644,442.0904358,17.92560577,178078754.5
431,1000,700,15437.28852,1082.966085,581.4248257,0,0,20,32,0.022978506,7,7,5,5,137.0,130.5,13,200,40,400,60,25,196192.5433,527.7533023,17.44438244,178328458.7
432,1150,900,14469.0508,1230.456991,810.2889315,0,0,22,25,0.010434034,5,5,8,8,249.75,107.0,13,200,27,400,50,25,185986.023,575.7717015,25.07669976,178876967.3
433,1200,850,14380.27887,1043.263781,541.8065123,0,0,14,32,0.011038694,3,3,6,6,514.0,135.6,10,300,27,400,60,25,176525.6201,553.8410828,24.66753087,179267731.8
434,950,700,15277.08389,853.9545704,485.6406033,0,0,28,29,0.027811362,9,9,7,7,97.625,88.5,10,200,40,400,60,25,205595.8793,538.954093,16.70476938,179439381.1
435,1100,800,14487.94562,1002.580297,559.3061927,0,0,18,32,0.016450522,4,4,7,7,309.3333333,104.6666667,10,200,30,400,60,25,193116.6095,558.0991799,21.56240157,179801211.8
