gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
73,747,[0.44781921 0.32751689],[0.14944352 0.04298977],[0.35085177 0.17250589],22.333333333333332,44329967.13309391,135359.1187672362,0.2709670273396008,18
74,769,[0.4492063  0.32693762],[0.14907698 0.0430579 ],[0.35085177 0.17250589],23.0,44065165.90919108,134563.0734552332,0.27184765896932794,19
75,751,[0.45105235 0.32642098],[0.14893641 0.04300466],[0.35085177 0.17250589],23.555555555555554,43891924.37367865,134043.67952925697,0.2728225597935364,19
76,765,[0.4538969  0.32559635],[0.14925848 0.04310729],[0.35085177 0.17250589],24.11111111111111,43924987.25156144,134167.39104345845,0.2727705049382781,19
77,759,[0.45544676 0.32500127],[0.14903833 0.04313941],[0.35085177 0.17250589],24.555555555555557,43792516.96895291,133764.32753454696,0.2727800095750881,19
78,758,[0.45992364 0.32387787],[0.14993731 0.04326876],[0.35085177 0.17250589],25.666666666666664,43837008.83141522,133910.76200436396,0.27336790839631153,19
79,767,[0.46238927 0.32313752],[0.14951164 0.04326187],[0.35085177 0.17250589],26.555555555555554,43635588.01910993,133353.06759643718,0.2742255679295049,20
80,750,[0.46603969 0.32204009],[0.14984418 0.04317123],[0.35085177 0.17250589],27.444444444444443,43476181.65518928,132879.81031667723,0.2751984424379063,19
81,738,[0.47089394 0.32066707],[0.14893025 0.04284687],[0.35085177 0.17250589],29.444444444444446,42881987.05916557,131110.31761403804,0.27911889914480525,20
82,752,[0.4685799  0.32107876],[0.14856841 0.0424353 ],[0.35263334 0.17250589],32.44444444444444,42180389.797859296,129057.41655318026,0.2837463739266743,21
83,738,[0.45785882 0.32391878],[0.14527473 0.042599  ],[0.35263334 0.17250589],37.55555555555555,40929075.96487548,125283.67045518769,0.29142555740867127,23
84,768,[0.45790702 0.32434998],[0.14398935 0.04290275],[0.35263334 0.17250589],44.111111111111114,39536593.33460855,121052.02369342024,0.3007494537663709,25
85,738,[0.46286608 0.32497435],[0.14372258 0.0443735 ],[0.35263334 0.17250589],58.111111111111114,37642142.67567907,115386.25431104212,0.31315351312729084,26
86,779,[0.44990947 0.33116296],[0.13645596 0.04412959],[0.35523622 0.17250589],96.11111111111111,34975201.56864831,107269.23095216947,0.3309072141823334,22
87,768,[0.39060502 0.34943459],[0.0872093  0.03824578],[0.35523622 0.17250589],100.0,31625920.849641893,97127.46226354036,0.3494345902415764,24
88,757,[0.37216592 0.36374882],[0.05941102 0.03159837],[0.35523622 0.17250589],100.0,30680193.82830267,93697.70058279064,0.36374881640489815,25
89,777,[0.37153571 0.36235306],[0.05980844 0.03161963],[0.35523622 0.17250589],100.0,30630258.424063466,93630.1414087373,0.3623530603439474,37
90,781,[0.36203245 0.36517934],[0.04044357 0.02506666],[0.34758273 0.17250589],100.0,30065526.311475635,92080.50713621508,0.3651793418679908,26
91,741,[0.36196442 0.36504215],[0.04046138 0.02507121],[0.34758273 0.17250589],100.0,30060821.053692523,92071.28188873062,0.36504215252645295,26
92,763,[0.36157324 0.36425331],[0.04056141 0.02508281],[0.34758273 0.17250589],100.0,30033765.82143963,92018.2367156951,0.36425331381261056,27
93,710,[0.35933536 0.35971831],[0.04105729 0.02466819],[0.34758273 0.17250589],100.0,29878873.609760694,91715.08965081509,0.3597183061824484,31
94,752,[0.35138718 0.35387227],[0.030485   0.01660751],[0.34758273 0.17250589],100.0,29387131.439579926,90473.795913956,0.3538722708683832,36
95,753,[0.35138718 0.35387227],[0.030485   0.01660751],[0.34758273 0.17250589],100.0,29387131.439579926,90473.795913956,0.3538722708683832,36
96,745,[0.35138718 0.35387227],[0.030485   0.01660751],[0.34758273 0.17250589],100.0,29387131.439579926,90473.795913956,0.3538722708683832,36
97,768,[0.35138718 0.35387227],[0.030485   0.01660751],[0.34758273 0.17250589],100.0,29387131.439579926,90473.795913956,0.3538722708683832,36
98,760,[0.35138718 0.35387227],[0.030485   0.01660751],[0.34758273 0.17250589],100.0,29387131.439579926,90473.795913956,0.3538722708683832,36
99,743,[0.3512835  0.35395088],[0.03033872 0.01645187],[0.34758273 0.17250589],100.0,29381109.16649055,90456.49609143248,0.35395088470350355,36
100,779,[0.3512835  0.35395088],[0.03033872 0.01645187],[0.34758273 0.17250589],100.0,29381109.16649055,90456.49609143248,0.35395088470350355,36
