gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
30,489,[0.47915054 0.75493048],[1.18066317 0.99989317],[0.35197589 0.41875249],[0.11543065 0.07652442],100.0,100.0,67440328.46437164,58049384.884977445,0.015098609682264282,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.426486772885198,58049384.884977445,0.00837504970136082,12
31,483,[0.46905253 0.75850466],[1.18066317 0.99989317],[0.35197589 0.41875249],[0.117192   0.08493975],100.0,100.0,66721000.969861045,58049384.884977445,0.015170093260064967,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.430079363337031,58049384.884977445,0.00837504970136082,9
32,477,[0.45475751 0.76003053],[1.18066317 0.99989317],[0.35197589 0.41875249],[0.115456   0.08506559],100.0,100.0,65699136.334278226,58049384.884977445,0.015200610538849208,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.431802029397801,58049384.884977445,0.00837504970136082,11
33,483,[0.4403387  0.76593273],[1.18066317 0.99280203],[0.34522924 0.41875249],[0.10877867 0.09071442],100.0,100.0,64652104.23250049,58049384.884977445,0.015318654631253951,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.445380057408318,58096701.676102705,0.00837504970136082,12
34,472,[0.43497305 0.75647682],[1.18066317 0.99487035],[0.3371848  0.41875249],[0.11123655 0.08491141],100.0,100.0,64283762.92716947,57324800.69421055,0.015129536456955847,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.463435583615102,57324800.69421055,0.00837504970136082,7
35,485,[0.42684198 0.75705446],[1.18066317 0.99487035],[0.33630244 0.41875249],[0.11313641 0.08574004],100.0,100.0,63685669.362935804,57139267.46171727,0.015141089171747842,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.465293152176693,57139267.46171727,0.00837504970136082,10
36,492,[0.42250441 0.75060047],[1.18066317 0.99671208],[0.3024123  0.41875249],[0.11496799 0.08177333],100.0,100.0,63352124.739511386,54742623.05003245,0.01501200949383111,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.5197126041190305,54742623.05003245,0.00837504970136082,11
37,491,[0.41552365 0.75295409],[1.18066317 0.99487035],[0.3024123  0.41875249],[0.11715578 0.08462068],100.0,100.0,62833878.939465165,54742623.05003245,0.015059081851339102,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.521684661019551,54742623.05003245,0.00837504970136082,12
38,479,[0.4114242  0.74453863],[1.18066317 0.99730894],[0.3024123  0.41875249],[0.11717275 0.07968464],100.0,100.0,62516037.271013014,54742623.05003245,0.014890772504300718,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.522282931342954,54742623.05003245,0.00837504970136082,13
39,488,[0.40108278 0.7479945 ],[1.18066317 0.99730894],[0.29240321 0.41875249],[0.11476349 0.08046783],100.0,100.0,61765587.83066675,54237026.40463985,0.014959890094428952,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.54089742111967,54237026.40463985,0.00837504970136082,14
40,484,[0.39379099 0.74632786],[1.18066317 0.98786894],[0.29240321 0.41875249],[0.11150657 0.08184317],100.0,100.0,61244760.0865441,54125562.90528811,0.014926557135829239,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.542915417031558,54125562.90528811,0.00837504970136082,21
41,485,[0.38259052 0.74837253],[1.18066317 0.99316465],[0.29240321 0.41875249],[0.10011598 0.0828062 ],100.0,100.0,60451370.41263324,54125562.90528811,0.014967450562478115,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.544857660798115,54125562.90528811,0.00837504970136082,16
42,488,[0.37705393 0.74964959],[1.18066317 0.97850996],[0.28888469 0.41875249],[0.10162453 0.08172264],100.0,100.0,60049863.52324855,53753313.66152146,0.014992991882377758,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.551241803671973,53753313.66152146,0.00837504970136082,14
43,488,[0.36765476 0.75553028],[1.18066317 0.97787399],[0.28343484 0.41875249],[0.09914081 0.08463295],100.0,100.0,59383615.24874396,53124587.86899787,0.015110605634650397,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.559950824567135,53124587.86899787,0.00837504970136082,19
44,491,[0.36136391 0.7610961 ],[1.18066317 0.97023663],[0.27988909 0.41875249],[0.10028536 0.0879671 ],100.0,100.0,58943454.283576354,53020486.26470727,0.01522192192793414,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.566211492740752,53020486.26470727,0.00837504970136082,23
45,486,[0.35563381 0.76536049],[1.18066317 0.97131108],[0.27589964 0.41875249],[0.10119622 0.08977642],100.0,100.0,58526616.4479307,52753906.13616967,0.015307209738528808,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.573874938113374,52753906.13616967,0.00837504970136082,23
46,489,[0.35217262 0.76802562],[1.18066317 0.97947944],[0.27254166 0.41875249],[0.10253695 0.09150764],100.0,100.0,58277618.43542568,52464089.78087509,0.015360512399300799,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.580112759395306,52464089.78087509,0.00837504970136082,15
47,485,[0.34935908 0.76710542],[1.18066317 0.97947944],[0.26851095 0.41875249],[0.10294491 0.09162373],100.0,100.0,58070676.265758835,52193866.30769987,0.015342108371617222,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.586540046147794,52193866.30769987,0.00837504970136082,19
48,489,[0.3479066  0.76215388],[1.18066317 0.98917799],[0.26590963 0.41875249],[0.10323374 0.08595011],100.0,100.0,57958616.954219006,52025377.31608486,0.015243077500889895,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.591756625122985,52025377.31608486,0.00837504970136082,19
49,492,[0.34306725 0.76459077],[1.18066317 0.99896551],[0.26021279 0.41875249],[0.10286487 0.08791499],100.0,100.0,57613215.61557034,51604257.64816749,0.015291815343372945,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.6011534443699835,51604257.64816749,0.00837504970136082,21
