gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
47,481,[0.23184491 0.51402582],[1.16105247 0.92023207],[0.12471587 0.30833753],[0.15904951 0.13067098],100.0,100.0,41261224.42304449,35094693.6852245,0.010280516358502776,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.164603456974065,35094693.6852245,0.006166750557251402,43
48,488,[0.23083669 0.51379973],[1.16105247 0.9177854 ],[0.12471587 0.30833753],[0.15969668 0.12938669],100.0,100.0,41210716.94857971,35094693.6852245,0.010275994526396059,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.165354919386013,35094693.6852245,0.006166750557251402,44
49,489,[0.22999021 0.51329325],[1.16105247 0.92204706],[0.1220696  0.30833753],[0.16017839 0.12738662],100.0,100.0,41171352.70417815,34921480.728594065,0.010265864991762587,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.170684244810101,34921480.728594065,0.006166750557251402,39
50,488,[0.22979336 0.51149949],[1.16105247 0.94303478],[0.11614109 0.30833753],[0.1603815  0.12816401],100.0,100.0,41166289.34100824,34678860.58071134,0.010229989831785382,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.180461014563831,34678860.58071134,0.006166750557251402,45
51,486,[0.23088177 0.50224134],[1.16105247 0.94303478],[0.11614109 0.30833753],[0.15997303 0.12348885],100.0,100.0,41227980.7490365,34678860.58071134,0.010044826816081218,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.181414910788678,34678860.58071134,0.006166750557251402,44
52,492,[0.22995841 0.50440724],[1.16105247 0.94303478],[0.10860563 0.30833753],[0.16060009 0.12655493],100.0,100.0,41178993.9953078,34199588.44972766,0.010088144752497996,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.193719606097969,34199588.44972766,0.006166750557251402,44
53,487,[0.22889454 0.50435171],[1.16105247 0.93474197],[0.10860563 0.30833753],[0.16097489 0.12965984],100.0,100.0,41119010.09344977,34199588.44972766,0.010087034190257343,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.194707544767908,34199588.44972766,0.006166750557251402,53
54,488,[0.22703721 0.5122421 ],[1.16105247 0.95483595],[0.10860563 0.30833753],[0.16202968 0.13846688],100.0,100.0,41013278.74847284,34199588.44972766,0.010244842031134406,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.195325808075757,34199588.44972766,0.006166750557251402,55
55,486,[0.22227566 0.5234131 ],[1.16105247 0.95483595],[0.10860563 0.30833753],[0.16320552 0.14537497],100.0,100.0,40737042.82608029,34179198.948593654,0.010468262034717154,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.195740707196984,34179198.948593654,0.006166750557251402,52
56,486,[0.22191204 0.52376796],[1.16105247 0.9428375 ],[0.10610763 0.30833753],[0.16344614 0.15023079],100.0,100.0,40716693.60722169,34058173.124957435,0.010475359172595705,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.2003224096228315,34058173.124957435,0.006166750557251402,55
