name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
442,200,1067,1200,573.5202094,674.7296581,0.005523155,0.002740958,436.4976468,10,200,21,500,40547.93977,128.528277,5.796916683,16,40,2,7,4,3,2
443,450,548,650,573.7241325,674.9695677,0.011358325,0.004960499,378.3832826,13,200,27,400,64045.74016,185.3769592,7.165641199,22,50,6,8,2,4,1
444,300,739,850,574.077017,675.3847258,0.009770955,0.004411016,340.1766981,13,300,27,400,51706.85131,153.4692902,6.218656708,16,40,4,11,3,5,2
445,200,1101,1200,574.4716156,675.8489595,0.006907902,0.002770154,255.8439027,10,400,21,400,39457.93345,126.2853611,5.789693168,22,50,2,4,2,2,1
446,350,714,800,576.3976722,678.1149085,0.006565185,0.003122802,365.3952144,13,350,27,500,47105.83736,149.478474,6.76190476,16,40,5,8,2,4,1
447,250,814,950,577.4907011,679.4008248,0.009840936,0.004586591,564.3534622,13,150,27,400,56261.08461,159.0600093,5.847076179,16,40,3,11,4,5,2
448,300,917,1000,577.6681182,679.6095509,0.004965507,0.002124217,311.9140608,10,350,21,500,43170.77802,145.7582114,7.194830339,16,40,4,7,2,3,1
449,450,667,750,580.4801456,682.9178184,0.006277154,0.002756648,564.8279431,10,100,21,500,60892.30223,188.4012131,8.178409872,16,40,7,10,2,5,1
450,300,801,900,580.8043041,683.2991813,0.006371984,0.00311887,326.3802961,10,250,21,500,44252.9679,141.8214512,6.512406665,22,50,3,5,2,2,1
451,250,917,1050,581.180619,683.7419047,0.008265078,0.003682623,304.1698626,1.00E+01,250,21,400,47904.93338,147.4908241,6.365035541,16,40,3,10,4,5,2
452,200,939,1100,585.1825972,688.4501143,0.00964441,0.004322682,288.1605047,13,450,27,400,43260.07036,129.7368376,5.355873874,16,40,2,10,5,5,3
453,250,842,950,586.6544307,690.1816832,0.007056609,0.003386588,335.1153367,10,250,27,500,41210.32763,129.2571348,5.744167072,16,40,3,8,3,4,2
454,200,1089,1200,587.3114098,690.9545998,0.005420483,0.002615862,434.500902,13,350,21,500,40182.90517,127.8045178,5.794423301,16,40,2,6,3,3,2
455,250,973,1100,587.7236089,691.4395399,0.006865902,0.003176004,368.5966661,10,200,21,400,48069.91064,150.3886293,6.653486946,22,50,2,5,3,3,2
456,500,664,750,588.7073753,692.5969121,0.007402683,0.003043299,454.5796123,13,200,21,400,68304.11144,210.5287941,9.09176989,16,40,8,12,2,5,1
457,500,564,650,589.3287277,693.327915,0.00972736,0.004536399,482.6084183,13,150,27,400,71007.61315,205.7574562,7.960527885,16,40,8,14,2,7,1
458,350,742,850,590.2441498,694.4048822,0.008720765,0.004354335,288.6255684,10,250,21,400,55313.43135,169.1298912,7.220820687,16,40,5,12,3,6,2
459,450,601,700,591.7343203,696.1580239,0.00951695,0.004110261,270.0672871,10,300,27,400,57740.91145,177.4163696,7.639996553,22,50,6,7,2,3,1
460,400,629,700,592.1894,696.6934118,0.007448638,0.003622304,348.6747855,1.00E+01,200,27,500,49591.77611,154.3523163,6.779034462,22,50,5,5,1,3,1
461,250,898,1000,592.6360415,697.2188724,0.006323945,0.002975148,1022.550501,13,100,21,500,58101.93132,165.4036439,6.146640752,22,50,2,4,2,2,1
462,400,779,850,592.9350769,697.5706787,0.004975842,0.002192523,407.9257618,10,200,21,500,51029.20206,169.3715927,8.168472115,22,50,5,4,1,2,1
463,200,1114,1250,596.9739604,702.3223063,0.005388932,0.002343252,374.0643508,13,450,21,500,39359.45509,128.1793913,6.018791335,16,40,2,7,4,3,2
464,350,826,900,597.8821386,703.3907513,0.00510935,0.002319324,494.5134428,13,250,21,500,50639.45008,163.5932616,7.590792259,22,50,4,4,1,2,1
465,450,679,750,600.384349,706.3345283,0.00621016,0.002489038,308.3470887,10,300,21,500,51763.21978,170.245073,8.116204717,22,50,6,5,1,2,1
466,550,664,750,601.8639454,708.0752298,0.005218053,0.002089774,473.5973014,1.30E+01,250,21,500,63239.29089,208.1402901,9.919306819,16,40,9,10,2,4,1
467,350,826,900,602.5709362,708.9069838,0.005156766,0.002348023,494.5134428,1.30E+01,250,21,500,50810.42618,163.9290855,7.591968727,22,50,4,4,1,2,1
468,300,723,850,604.1524833,710.7676274,0.011008022,0.00442483,277.1629719,10,250,27,400,51094.87134,152.2106389,6.214599395,22,50,3,7,3,3,1
469,250,864,1000,607.289522,714.4582612,0.00903948,0.004317502,312.3171628,13,400,27,400,48095.90942,145.33153,6.078926601,16,40,3,11,4,5,2
470,600,526,600,610.0795384,717.7406335,0.009039275,0.004069469,414.4397661,1.30E+01,200,27,400,71364.90265,213.4734227,8.767993676,22,50,9,8,1,4,1
471,550,514,600,610.5301506,718.2707654,0.011095178,0.005452617,347.3575887,13,250,27,400,71000.77206,206.6161816,8.075834242,16,40,9,16,2,8,1
